date,initial_claims,continued_claims,insured_unemployment,initial_claims_4wma,year,week
2015-01-03,294000.0,2381000.0,1.8,294000.0,2015,1
2015-01-10,304000.0,2400000.0,1.8,299000.0,2015,2
2015-01-17,298000.0,2336000.0,1.8,298666.6666666667,2015,3
2015-01-24,261000.0,2335000.0,1.8,289250.0,2015,4
2015-01-31,281000.0,2297000.0,1.7,286000.0,2015,5
2015-02-07,298000.0,2344000.0,1.8,284500.0,2015,6
2015-02-14,285000.0,2319000.0,1.7,281250.0,2015,7
2015-02-21,305000.0,2341000.0,1.8,292250.0,2015,8
2015-02-28,317000.0,2357000.0,1.8,301250.0,2015,9
2015-03-07,293000.0,2361000.0,1.8,300000.0,2015,10
2015-03-14,290000.0,2361000.0,1.8,301250.0,2015,11
2015-03-21,284000.0,2306000.0,1.7,296000.0,2015,12
2015-03-28,269000.0,2278000.0,1.7,284000.0,2015,13
2015-04-04,282000.0,2273000.0,1.7,281250.0,2015,14
2015-04-11,298000.0,2320000.0,1.7,283250.0,2015,15
2015-04-18,295000.0,2279000.0,1.7,286000.0,2015,16
2015-04-25,269000.0,2254000.0,1.7,286000.0,2015,17
2015-05-02,267000.0,2261000.0,1.7,282250.0,2015,18
2015-05-09,271000.0,2253000.0,1.7,275500.0,2015,19
2015-05-16,276000.0,2258000.0,1.7,270750.0,2015,20
2015-05-23,281000.0,2236000.0,1.7,273750.0,2015,21
2015-05-30,275000.0,2294000.0,1.7,275750.0,2015,22
2015-06-06,278000.0,2250000.0,1.7,277500.0,2015,23
2015-06-13,269000.0,2268000.0,1.7,275750.0,2015,24
2015-06-20,273000.0,2265000.0,1.7,273750.0,2015,25
2015-06-27,275000.0,2312000.0,1.7,273750.0,2015,26
2015-07-04,292000.0,2233000.0,1.7,277250.0,2015,27
2015-07-11,285000.0,2226000.0,1.7,281250.0,2015,28
2015-07-18,265000.0,2267000.0,1.7,279250.0,2015,29
2015-07-25,269000.0,2253000.0,1.7,277750.0,2015,30
2015-08-01,270000.0,2257000.0,1.7,272250.0,2015,31
2015-08-08,274000.0,2247000.0,1.7,269500.0,2015,32
2015-08-15,279000.0,2256000.0,1.7,273000.0,2015,33
2015-08-22,274000.0,2252000.0,1.7,274250.0,2015,34
2015-08-29,279000.0,2258000.0,1.7,276500.0,2015,35
2015-09-05,273000.0,2243000.0,1.7,276250.0,2015,36
2015-09-12,264000.0,2255000.0,1.7,272500.0,2015,37
2015-09-19,269000.0,2234000.0,1.7,271250.0,2015,38
2015-09-26,272000.0,2240000.0,1.7,269500.0,2015,39
2015-10-03,267000.0,2207000.0,1.6,268000.0,2015,40
2015-10-10,265000.0,2214000.0,1.6,268250.0,2015,41
2015-10-17,264000.0,2194000.0,1.6,267000.0,2015,42
2015-10-24,264000.0,2218000.0,1.6,265000.0,2015,43
2015-10-31,275000.0,2205000.0,1.6,267000.0,2015,44
2015-11-07,276000.0,2209000.0,1.6,269750.0,2015,45
2015-11-14,272000.0,2185000.0,1.6,271750.0,2015,46
2015-11-21,261000.0,2181000.0,1.6,271000.0,2015,47
2015-11-28,265000.0,2259000.0,1.7,268500.0,2015,48
2015-12-05,280000.0,2242000.0,1.7,269500.0,2015,49
2015-12-12,268000.0,2190000.0,1.6,268500.0,2015,50
2015-12-19,260000.0,2176000.0,1.6,268250.0,2015,51
2015-12-26,276000.0,2207000.0,1.6,271000.0,2015,52
2016-01-02,273000.0,2218000.0,1.6,269250.0,2016,53
2016-01-09,284000.0,2190000.0,1.6,273250.0,2016,1
2016-01-16,290000.0,2221000.0,1.6,280750.0,2016,2
2016-01-23,269000.0,2199000.0,1.6,279000.0,2016,3
2016-01-30,282000.0,2210000.0,1.6,281250.0,2016,4
2016-02-06,266000.0,2213000.0,1.6,276750.0,2016,5
2016-02-13,262000.0,2206000.0,1.6,269750.0,2016,6
2016-02-20,270000.0,2203000.0,1.6,270000.0,2016,7
2016-02-27,269000.0,2180000.0,1.6,266750.0,2016,8
2016-03-05,255000.0,2203000.0,1.6,264000.0,2016,9
2016-03-12,263000.0,2163000.0,1.6,264250.0,2016,10
2016-03-19,264000.0,2138000.0,1.6,262750.0,2016,11
2016-03-26,271000.0,2165000.0,1.6,263250.0,2016,12
2016-04-02,273000.0,2151000.0,1.6,267750.0,2016,13
2016-04-09,263000.0,2139000.0,1.6,267750.0,2016,14
2016-04-16,257000.0,2135000.0,1.6,266000.0,2016,15
2016-04-23,259000.0,2137000.0,1.6,263000.0,2016,16
2016-04-30,278000.0,2183000.0,1.6,264250.0,2016,17
2016-05-07,289000.0,2185000.0,1.6,270750.0,2016,18
2016-05-14,279000.0,2177000.0,1.6,276250.0,2016,19
2016-05-21,267000.0,2186000.0,1.6,278250.0,2016,20
2016-05-28,263000.0,2131000.0,1.6,274500.0,2016,21
2016-06-04,265000.0,2170000.0,1.6,268500.0,2016,22
2016-06-11,273000.0,2158000.0,1.6,267000.0,2016,23
2016-06-18,261000.0,2160000.0,1.6,265500.0,2016,24
2016-06-25,262000.0,2139000.0,1.6,265250.0,2016,25
2016-07-02,255000.0,2131000.0,1.5,262750.0,2016,26
2016-07-09,252000.0,2125000.0,1.5,257500.0,2016,27
2016-07-16,260000.0,2140000.0,1.6,257250.0,2016,28
2016-07-23,264000.0,2134000.0,1.6,257750.0,2016,29
2016-07-30,266000.0,2143000.0,1.6,260500.0,2016,30
2016-08-06,265000.0,2157000.0,1.6,263750.0,2016,31
2016-08-13,264000.0,2137000.0,1.6,264750.0,2016,32
2016-08-20,264000.0,2148000.0,1.6,264750.0,2016,33
2016-08-27,261000.0,2138000.0,1.6,263500.0,2016,34
2016-09-03,257000.0,2149000.0,1.6,261500.0,2016,35
2016-09-10,252000.0,2110000.0,1.5,258500.0,2016,36
2016-09-17,250000.0,2098000.0,1.5,255000.0,2016,37
2016-09-24,247000.0,2081000.0,1.5,251500.0,2016,38
2016-10-01,245000.0,2080000.0,1.5,248500.0,2016,39
2016-10-08,250000.0,2081000.0,1.5,248000.0,2016,40
2016-10-15,263000.0,2069000.0,1.5,251250.0,2016,41
2016-10-22,256000.0,2066000.0,1.5,253500.0,2016,42
2016-10-29,265000.0,2067000.0,1.5,258500.0,2016,43
2016-11-05,250000.0,2046000.0,1.5,258500.0,2016,44
2016-11-12,232000.0,2045000.0,1.5,250750.0,2016,45
2016-11-19,246000.0,2050000.0,1.5,248250.0,2016,46
2016-11-26,255000.0,2038000.0,1.5,245750.0,2016,47
2016-12-03,248000.0,2029000.0,1.5,245250.0,2016,48
2016-12-10,252000.0,2030000.0,1.5,250250.0,2016,49
2016-12-17,260000.0,2078000.0,1.5,253750.0,2016,50
2016-12-24,257000.0,2077000.0,1.5,254250.0,2016,51
2016-12-31,244000.0,2028000.0,1.5,253250.0,2016,52
2017-01-07,245000.0,2080000.0,1.5,251500.0,2017,1
2017-01-14,240000.0,2099000.0,1.5,246500.0,2017,2
2017-01-21,250000.0,2067000.0,1.5,244750.0,2017,3
2017-01-28,241000.0,2078000.0,1.5,244000.0,2017,4
2017-02-04,230000.0,2064000.0,1.5,240250.0,2017,5
2017-02-11,233000.0,2076000.0,1.5,238500.0,2017,6
2017-02-18,237000.0,2034000.0,1.5,235250.0,2017,7
2017-02-25,221000.0,2065000.0,1.5,230250.0,2017,8
2017-03-04,236000.0,2020000.0,1.5,231750.0,2017,9
2017-03-11,228000.0,2002000.0,1.4,230500.0,2017,10
2017-03-18,235000.0,2021000.0,1.5,230000.0,2017,11
2017-03-25,236000.0,2027000.0,1.5,233750.0,2017,12
2017-04-01,216000.0,1990000.0,1.4,228750.0,2017,13
2017-04-08,222000.0,1968000.0,1.4,227250.0,2017,14
2017-04-15,231000.0,1961000.0,1.4,226250.0,2017,15
2017-04-22,238000.0,1962000.0,1.4,226750.0,2017,16
2017-04-29,232000.0,1896000.0,1.4,230750.0,2017,17
2017-05-06,233000.0,1892000.0,1.4,233500.0,2017,18
2017-05-13,234000.0,1902000.0,1.4,234250.0,2017,19
2017-05-20,236000.0,1900000.0,1.4,233750.0,2017,20
2017-05-27,253000.0,1891000.0,1.4,239000.0,2017,21
2017-06-03,251000.0,1909000.0,1.4,243500.0,2017,22
2017-06-10,245000.0,1914000.0,1.4,246250.0,2017,23
2017-06-17,249000.0,1915000.0,1.4,249500.0,2017,24
2017-06-24,247000.0,1929000.0,1.4,248000.0,2017,25
2017-07-01,256000.0,1911000.0,1.4,249250.0,2017,26
2017-07-08,259000.0,1942000.0,1.4,252750.0,2017,27
2017-07-15,245000.0,1929000.0,1.4,251750.0,2017,28
2017-07-22,249000.0,1928000.0,1.4,252250.0,2017,29
2017-07-29,245000.0,1926000.0,1.4,249500.0,2017,30
2017-08-05,254000.0,1928000.0,1.4,248250.0,2017,31
2017-08-12,245000.0,1926000.0,1.4,248250.0,2017,32
2017-08-19,245000.0,1928000.0,1.4,247250.0,2017,33
2017-08-26,247000.0,1912000.0,1.4,247750.0,2017,34
2017-09-02,297000.0,1911000.0,1.4,258500.0,2017,35
2017-09-09,280000.0,1939000.0,1.4,267250.0,2017,36
2017-09-16,261000.0,1872000.0,1.3,271250.0,2017,37
2017-09-23,264000.0,1871000.0,1.3,275500.0,2017,38
2017-09-30,260000.0,1871000.0,1.3,266250.0,2017,39
2017-10-07,252000.0,1869000.0,1.3,259250.0,2017,40
2017-10-14,235000.0,1902000.0,1.4,252750.0,2017,41
2017-10-21,241000.0,1913000.0,1.4,247000.0,2017,42
2017-10-28,241000.0,1927000.0,1.4,242250.0,2017,43
2017-11-04,248000.0,1939000.0,1.4,241250.0,2017,44
2017-11-11,254000.0,1944000.0,1.4,246000.0,2017,45
2017-11-18,246000.0,1974000.0,1.4,247250.0,2017,46
2017-11-25,243000.0,1997000.0,1.4,247750.0,2017,47
2017-12-02,241000.0,1953000.0,1.4,246000.0,2017,48
2017-12-09,229000.0,1984000.0,1.4,239750.0,2017,49
2017-12-16,244000.0,2006000.0,1.4,239250.0,2017,50
2017-12-23,251000.0,1979000.0,1.4,241250.0,2017,51
2017-12-30,248000.0,1933000.0,1.4,243000.0,2017,52
2018-01-06,252000.0,1971000.0,1.4,248750.0,2018,1
2018-01-13,230000.0,1972000.0,1.4,245250.0,2018,2
2018-01-20,231000.0,1990000.0,1.4,240250.0,2018,3
2018-01-27,228000.0,1985000.0,1.4,235250.0,2018,4
2018-02-03,224000.0,1996000.0,1.4,228250.0,2018,5
2018-02-10,225000.0,1959000.0,1.4,227000.0,2018,6
2018-02-17,219000.0,1985000.0,1.4,224000.0,2018,7
2018-02-24,216000.0,1957000.0,1.4,221000.0,2018,8
2018-03-03,228000.0,1960000.0,1.4,222000.0,2018,9
2018-03-10,223000.0,1948000.0,1.4,221500.0,2018,10
2018-03-17,225000.0,1959000.0,1.4,223000.0,2018,11
2018-03-24,221000.0,1917000.0,1.4,224250.0,2018,12
2018-03-31,232000.0,1943000.0,1.4,225250.0,2018,13
2018-04-07,234000.0,1949000.0,1.4,228000.0,2018,14
2018-04-14,236000.0,1900000.0,1.3,230750.0,2018,15
2018-04-21,207000.0,1827000.0,1.3,227250.0,2018,16
2018-04-28,209000.0,1834000.0,1.3,221500.0,2018,17
2018-05-05,211000.0,1765000.0,1.2,215750.0,2018,18
2018-05-12,222000.0,1769000.0,1.3,212250.0,2018,19
2018-05-19,230000.0,1751000.0,1.2,218000.0,2018,20
2018-05-26,222000.0,1737000.0,1.2,221250.0,2018,21
2018-06-02,223000.0,1690000.0,1.2,224250.0,2018,22
2018-06-09,222000.0,1693000.0,1.2,224250.0,2018,23
2018-06-16,218000.0,1671000.0,1.2,221250.0,2018,24
2018-06-23,222000.0,1671000.0,1.2,221250.0,2018,25
2018-06-30,228000.0,1672000.0,1.2,222500.0,2018,26
2018-07-07,216000.0,1676000.0,1.2,221000.0,2018,27
2018-07-14,205000.0,1659000.0,1.2,217750.0,2018,28
2018-07-21,210000.0,1624000.0,1.1,214750.0,2018,29
2018-07-28,207000.0,1657000.0,1.2,209500.0,2018,30
2018-08-04,210000.0,1624000.0,1.1,208000.0,2018,31
2018-08-11,206000.0,1625000.0,1.1,208250.0,2018,32
2018-08-18,207000.0,1605000.0,1.1,207500.0,2018,33
2018-08-25,211000.0,1602000.0,1.1,208500.0,2018,34
2018-09-01,201000.0,1575000.0,1.1,206250.0,2018,35
2018-09-08,204000.0,1538000.0,1.1,205750.0,2018,36
2018-09-15,206000.0,1544000.0,1.1,205500.0,2018,37
2018-09-22,205000.0,1545000.0,1.1,204000.0,2018,38
2018-09-29,210000.0,1553000.0,1.1,206250.0,2018,39
2018-10-06,211000.0,1565000.0,1.1,208000.0,2018,40
2018-10-13,208000.0,1588000.0,1.1,208500.0,2018,41
2018-10-20,217000.0,1603000.0,1.1,211500.0,2018,42
2018-10-27,216000.0,1615000.0,1.1,213000.0,2018,43
2018-11-03,218000.0,1642000.0,1.2,214750.0,2018,44
2018-11-10,221000.0,1665000.0,1.2,218000.0,2018,45
2018-11-17,225000.0,1749000.0,1.2,220000.0,2018,46
2018-11-24,237000.0,1684000.0,1.2,225250.0,2018,47
2018-12-01,232000.0,1694000.0,1.2,228750.0,2018,48
2018-12-08,208000.0,1745000.0,1.2,225500.0,2018,49
2018-12-15,217000.0,1756000.0,1.2,223500.0,2018,50
2018-12-22,228000.0,1770000.0,1.2,221250.0,2018,51
2018-12-29,238000.0,1783000.0,1.3,222750.0,2018,52
2019-01-05,225000.0,1766000.0,1.2,227000.0,2019,1
2019-01-12,218000.0,1780000.0,1.2,227250.0,2019,2
2019-01-19,214000.0,1813000.0,1.3,223750.0,2019,3
2019-01-26,234000.0,1759000.0,1.2,222750.0,2019,4
2019-02-02,232000.0,1806000.0,1.3,224500.0,2019,5
2019-02-09,226000.0,1778000.0,1.2,226500.0,2019,6
2019-02-16,211000.0,1826000.0,1.3,225750.0,2019,7
2019-02-23,221000.0,1796000.0,1.3,222500.0,2019,8
2019-03-02,216000.0,1807000.0,1.3,218500.0,2019,9
2019-03-09,218000.0,1792000.0,1.3,216500.0,2019,10
2019-03-16,212000.0,1800000.0,1.3,216750.0,2019,11
2019-03-23,210000.0,1760000.0,1.2,214000.0,2019,12
2019-03-30,203000.0,1742000.0,1.2,210750.0,2019,13
2019-04-06,196000.0,1680000.0,1.2,205250.0,2019,14
2019-04-13,197000.0,1664000.0,1.2,201500.0,2019,15
2019-04-20,222000.0,1659000.0,1.2,204500.0,2019,16
2019-04-27,224000.0,1663000.0,1.2,209750.0,2019,17
2019-05-04,225000.0,1627000.0,1.1,217000.0,2019,18
2019-05-11,212000.0,1635000.0,1.1,220750.0,2019,19
2019-05-18,215000.0,1621000.0,1.1,219000.0,2019,20
2019-05-25,222000.0,1629000.0,1.1,218500.0,2019,21
2019-06-01,223000.0,1631000.0,1.1,218000.0,2019,22
2019-06-08,226000.0,1608000.0,1.1,221500.0,2019,23
2019-06-15,217000.0,1634000.0,1.1,222000.0,2019,24
2019-06-22,234000.0,1625000.0,1.1,225000.0,2019,25
2019-06-29,226000.0,1657000.0,1.2,225750.0,2019,26
2019-07-06,215000.0,1633000.0,1.1,223000.0,2019,27
2019-07-13,211000.0,1634000.0,1.1,221500.0,2019,28
2019-07-20,202000.0,1623000.0,1.1,213500.0,2019,29
2019-07-27,206000.0,1634000.0,1.1,208500.0,2019,30
2019-08-03,208000.0,1656000.0,1.1,206750.0,2019,31
2019-08-10,212000.0,1618000.0,1.1,207000.0,2019,32
2019-08-17,207000.0,1629000.0,1.1,208250.0,2019,33
2019-08-24,213000.0,1604000.0,1.1,210000.0,2019,34
2019-08-31,215000.0,1591000.0,1.1,211750.0,2019,35
2019-09-07,207000.0,1596000.0,1.1,210500.0,2019,36
2019-09-14,205000.0,1567000.0,1.1,210000.0,2019,37
2019-09-21,211000.0,1561000.0,1.1,209500.0,2019,38
2019-09-28,215000.0,1600000.0,1.1,209500.0,2019,39
2019-10-05,209000.0,1602000.0,1.1,210000.0,2019,40
2019-10-12,215000.0,1611000.0,1.1,212500.0,2019,41
2019-10-19,210000.0,1628000.0,1.1,212250.0,2019,42
2019-10-26,215000.0,1633000.0,1.1,212250.0,2019,43
2019-11-02,214000.0,1646000.0,1.1,213500.0,2019,44
2019-11-09,227000.0,1668000.0,1.2,216500.0,2019,45
2019-11-16,229000.0,1702000.0,1.2,221250.0,2019,46
2019-11-23,221000.0,1702000.0,1.2,222750.0,2019,47
2019-11-30,231000.0,1708000.0,1.2,227000.0,2019,48
2019-12-07,247000.0,1728000.0,1.2,232000.0,2019,49
2019-12-14,236000.0,1753000.0,1.2,233750.0,2019,50
2019-12-21,230000.0,1754000.0,1.2,236000.0,2019,51
2019-12-28,231000.0,1843000.0,1.3,236000.0,2019,52
2020-01-04,224000.0,1827000.0,1.3,230250.0,2020,1
2020-01-11,207000.0,1804000.0,1.2,223000.0,2020,2
2020-01-18,221000.0,1774000.0,1.2,220750.0,2020,3
2020-01-25,210000.0,1796000.0,1.2,215500.0,2020,4
2020-02-01,207000.0,1755000.0,1.2,211250.0,2020,5
2020-02-08,202000.0,1782000.0,1.2,210000.0,2020,6
2020-02-15,209000.0,1760000.0,1.2,207000.0,2020,7
2020-02-22,218000.0,1783000.0,1.2,209000.0,2020,8
2020-02-29,215000.0,1771000.0,1.2,211000.0,2020,9
2020-03-07,208000.0,1753000.0,1.2,212500.0,2020,10
2020-03-14,273000.0,1844000.0,1.3,228500.0,2020,11
2020-03-21,2914000.0,3238000.0,2.2,902500.0,2020,12
2020-03-28,5946000.0,8004000.0,5.5,2335250.0,2020,13
2020-04-04,6137000.0,12396000.0,8.5,3817500.0,2020,14
2020-04-11,4869000.0,16193000.0,11.1,4966500.0,2020,15
2020-04-18,4201000.0,17789000.0,12.2,5288250.0,2020,16
2020-04-25,3446000.0,21750000.0,14.9,4663250.0,2020,17
2020-05-02,2796000.0,20939000.0,14.4,3828000.0,2020,18
2020-05-09,2335000.0,23130000.0,15.9,3194500.0,2020,19
2020-05-16,2176000.0,19153000.0,13.1,2688250.0,2020,20
2020-05-23,1921000.0,19194000.0,13.2,2307000.0,2020,21
2020-05-30,1639000.0,19216000.0,13.2,2017750.0,2020,22
2020-06-06,1575000.0,18743000.0,12.9,1827750.0,2020,23
2020-06-13,1473000.0,17860000.0,12.3,1652000.0,2020,24
2020-06-20,1467000.0,17501000.0,12.0,1538500.0,2020,25
